issue_type,path,src_size,dst_size,size_equal,src_modtime_epoch,dst_modtime_epoch,modtime_diff_seconds,within_tolerance
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00002.tif,22988574,,,1676171876.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00003.tif,23422450,,,1676171878.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00004.tif,22631700,,,1676171879.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00005.tif,23316276,,,1676171882.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00006.tif,22650508,,,1676171883.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00007.tif,23518780,,,1676171885.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_TIFF/008/RAT001_1915-07-15_00008.tif,23184556,,,1676171887.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/016/BB003_1931-06-08_00001.jpg,1956830,,,1663205136.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/016/BB003_1931-06-08_00002.jpg,2044774,,,1663205476.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/016/BB003_1931-06-08_00003.jpg,1979243,,,1663205142.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/016/BB003_1931-06-08_00004.jpg,1908236,,,1663205480.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_TIFF/010/PUBA002_1927-03-15_00001.tif,22137108,,,1676170921.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_TIFF/010/PUBA002_1927-03-15_00002.tif,24455662,,,1676170924.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_TIFF/010/PUBA002_1927-03-15_00003.tif,22138052,,,1676170925.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_TIFF/010/PUBA002_1927-03-15_00004.tif,24454668,,,1676170928.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1930/BB002_1930_Baikuntha_Bhikari_JPEG/015/BB002_1930-04-28_00001.jpg,1901551,,,1663157300.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1930/BB002_1930_Baikuntha_Bhikari_JPEG/015/BB002_1930-04-28_00002.jpg,1998556,,,1663157540.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1930/BB002_1930_Baikuntha_Bhikari_JPEG/015/BB002_1930-04-28_00003.jpg,1826787,,,1663157302.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1930/BB002_1930_Baikuntha_Bhikari_JPEG/015/BB002_1930-04-28_00004.jpg,1839597,,,1663157544.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_JPEG/011/PUBA002_1927-03-22_00001.jpg,1824044,,,1676170821.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_JPEG/011/PUBA002_1927-03-22_00002.jpg,1630173,,,1676170821.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_JPEG/011/PUBA002_1927-03-22_00003.jpg,1909383,,,1676170821.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1927/PUBA002_1927_Puribasi_JPEG/011/PUBA002_1927-03-22_00004.jpg,1589769,,,1676170821.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00001.tif,24799250,,,1676172462.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00002.tif,24242914,,,1676172464.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00003.tif,24798716,,,1676172465.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00004.tif,24394386,,,1676172468.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00005.tif,24949080,,,1676172470.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00006.tif,24392800,,,1676172471.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00007.tif,24948398,,,1676172473.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00008.tif,24392982,,,1676172475.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00009.tif,24948836,,,1676172476.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1916/RAT002_1916_Ratnakar_TIFF/007/RAT002_1916-02-17_00010.tif,24393624,,,1676172479.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/009/RAT001_1915-07-22_00001.jpg,1725797,,,1676171708.0,,,
